"reportante","tipo_de_testiga","tipo_de_victima","edad_victima","sexo_asignado_nacer","identidad_genero","orientacion_sexual","expresion_genero","tipo_de_agresora","tipo_de_agresion","subtipo_de_agresion","descripcion_incidente","dia_incidente","hora_incidente","fecha_reporte_visible","entidad","ciudad","tipo_de_lugar","subtipo_de_lugar","latitud","longitud","reporte_previo","reporte_previo_quien","satisfaccion_reporte_previo","razon_no_reporte_previo","estado_civil","nacionalidad","escolaridad","ocupacion","ingreso","seguridad_social","identidades","id"
"Personal","Personal","Determinada","De 26 a 30 años","Mujer","Mujer cis","Lesbiana","Femenina","Maestra o personal educativo","Verbal","La víctima fue agredida verbalmente","Una maestra, al estar en la fila detrás mío y escuchar mientras yo tomaba una llamada telefónica con mi esposa, se burló de mí, intentó desafiarme a una 'pelea moral' en la cual me pedía razones para estar frente a un grupo siendo lesbiana. Me dijo que si estaba bonita no entendía porque la maña, preguntó si los padres de familia de mi salón sabían y dijo que debían hacerse pruebas antes de entrar al magisterio para que este tipo de actos no ocurrieran.",2020-05-20,"15:00:00",2020-07-01 21:23:00,"Durango","Durango","Público","Oficina de Gobierno",23.9936909,-104.6632309,"Si","Pareja, familia o amistades de la víctima",2,,,,,,,,,248
"Personal","Personal","Determinada","De 18 a 25 años","Hombre","Hombre cis","Bisexual","Femenina","Amiga","Verbal","La víctima fue agredida verbalmente","Un amigo me envió un mensaje diciéndome joto.",2020-06-30,"21:00:00",2020-07-01 18:57:00,"Estado de México","Huixquilucan","Redes sociales o medios de comunicación","Redes sociales",,,"No",,,"Tengo miedo de denunciar",,,,,,,,251
"Testiga","Miembra de organización agresora","Determinada","De 31 a 35 años","Hombre","Mujer trans","No reportada","Neutra","Patrona o fuente de ingreso privada","Laboral","La víctima fue sancionada o despedida injustificadamente","La maestra Daniela fue despedida por ser mujer trans, después de varios intentos de la Universidad por despedirla y en plena pandemia",2020-06-30,"19:00:00",2020-07-01 17:59:00,"Ciudad de México","Cuauhtémoc","Privado","Escuela o Universidad privada",19.4085702,-99.1810039,"No",,,"No sabía en dónde denunciarlo",,,,,,,,252
"Personal","Personal","Determinada","De 36 a 40 años","Hombre","Hombre cis","Pansexual","Un poco masculina","Patrona o fuente de ingreso privada","Laboral","La víctima fue sancionada o despedida injustificadamente","Se me acusó de acoso sexual sin pruebas y sin tener la oportunidad de conocer cuál fue la declaración de la persona que me acusara, no hubo argumentos válidos y se me obligó a firmar mi renuncia",2020-06-25,"10:00:00",2020-07-01 06:20:00,"Chiapas","Tuxtla Gutiérrez","Privado","Empresa u oficina privada",16.7435554,-93.1013817,"No",,,"No sabía en dónde denunciarlo",,,,,,,,253
"Personal","Personal","Determinada","De 26 a 30 años","Hombre","Hombre cis","Gay","Neutra","Persona no identificada","Sexual","La víctima fue agredida sexualmente","Me quedé de ver con un hombre en plan de cita, aunque ya estaba implícito que podía haber algo sexual también, con lo cual yo estaba de acuerdo por lo menos por mensaje y hasta ese momento. Llegué a su casa y fuimos inmediatamente a un bar, estuvimos como 1 hr en el lugar y regresamos a su casa. Ya ahí subimos a su habitación y nos empezamos a besar, nos desvestimos. Después de eso me intentó penetrar analmente sin condón con lo cual yo le dije que se pusiera protección y él dijo que él no usaba protección y que si quería estar con él y enamorarlo tenía que dejar su semen dentro de mí, con lo cual yo le dije que no estaba de acuerdo. Después de eso me forzó de los brazos y me continuó penetrando. Yo seguí insistiendo que se detuviera y que ya me quería ir pero me dijo que me callara y me golpeó fuertemente en la espalda y me apretaba más fuerte de las muñecas. Después de eso yo me quedé callado y quieto hasta que el terminó dentro y me corrió de su casa siendo violento verbalmente. Al siguiente día yo le pregunté por mensaje que si estaba libre de infecciones con lo cual se puso muy violento y me insultó largo rato, lo bloqueé y me empezó a acosar por mensajes de texto y llamadas con lo cual yo tuve mucho miedo. Nunca había contado esto fuera de terapia (psicológica y psiquiátrica) y tampoco lo denuncié y me siento muy mal de no haberlo denunciado pero también me da mucho miedo. Me hice la prueba después del período de ventana y afortunadamente salí negativo. Además del miedo a denunciar a este hombre también me dio miedo el hecho de ir a poner una denuncia, aunque no lo he vivido sé que no se iban a tomar en serio una denuncia por violación a un hombre gay y tal vez iba a sufrir discriminación o violencia por parte de los servidores públicos, con lo cuál yo no estaba preparado emocionalmente para pasar por esa situación, suficiente tenía ya en la cabeza con el hecho de haber sido violado.",2019-07-10,"22:00:00",2020-07-01 04:59:00,"Jalisco","Guadalajara","Privado","Casa ajena",20.5626622,-103.4403503,"No",,,"Tengo miedo de denunciar",,,,,,,,254
"Personal","Personal","Determinada","De 31 a 35 años","Hombre","Hombre cis","Gay","Neutra","Persona no identificada","Verbal","La víctima fue agredida verbalmente","Administro un espacio de teatro. En la bodega del espacio, descubrí un mensaje homofóbico hacia mi persona. Si bien al parecer ya tenía tiempo, por las investigaciones que se han hecho, yo apenas lo noté pues estaba en un lugar oculto. Yo soy el encargado de la programación y del trato con las compañías de teatro que se presentan ahí, el mensaje es importante recalcar pues viene de una persona de confianza que se le dio la oportunidad de presentarse en el espacio, y que al parecer tuvo un problema conmigo, pero jamás se atrevió a decírmelo, además de hacer daño a propiedad privada ya que el mensaje esta escrito con marcado indeleble en una de las puertas. Aunque ya tenemos nuestras sospechas de quién pudo ser, planeo hacer investigación y denuncia al respecto, pues somos un espacio abierto a todas las diversidades y estos discursos de odio no serán tolerados en el espacio hacia mí o hacia cualquier persona.",2020-06-28,"12:00:00",2020-07-01 01:56:00,"Ciudad de México","Cuauhtémoc","Privado","Centro comercial o establecimiento comercial",19.435814,-99.1559252,"No",,,"Aún no lo hago, pero planeo hacerlo próximamente.",,,,,,,,255
"Personal","Personal","Determinada","De 18 a 25 años","Mujer","Mujer cis","Bisexual","Muy femenina","Familiar o cohabitante","Expulsión del hogar","La víctima fue expulsada de su casa","Mi cuñada me golpeó con una tabla. Expuso mi orientación sexual en contra de mi voluntad y la familia me excluyó. Tuve que irme de casa en cuarentena.",2020-06-17,"17:00:00",2020-07-01 01:40:00,"Jalisco","Yahualica","Privado","Casa propia o casa familiar",21.1782822,-102.8831247,"No",,,"Tengo miedo de denunciar",,,,,,,,256
"Personal","Personal","Determinada","De 26 a 30 años","Mujer","Mujer cis","Lesbiana","Un poco femenina","Empleada de establecimiento comercial o profesionista","Impedimento de entrada, negación de servicios o derechos","La víctima fue impedida de ingresar o se le negó la venta o prestación de un servicio en un establecimiento comercial","En un establecimiento, se nos acercó un mesero a decirme a mí y mi pareja que no nos tomáramos de la mano o nos sacarían del lugar.",2019-07-20,"22:00:00",2020-06-30 14:54:00,"Guanajuato","León","Privado","Restaurante",21.1182061,-101.6703632,"Si","Instancia privada",1,,,,,,,,,257
"Personal","Personal","Determinada","De 26 a 30 años","Hombre","Hombre cis","Gay","Masculina","Persona no identificada","Física","La víctima fue agredida físicamente","Iba saliendo de un antro en Guanajuato Capital, durante el Festival Cervantino, era ya muy noche, iba con mi novio, y veníamos bastante felices, fue una noche muy padre. Cuando salimos del antro, nos dirigíamos hacia el estacionamiento, caminando en la calle Alonso, a 800 metros del antro, y mi novio quiso agarrarme de la mano. A mi me dio pena, pero se sintió único el momento. Nunca lo había hecho. No pasaron ni 10 segundos y un grupo de chavos que salían del mismo antro, nos empezaron a grita 'Putos, maricones' entre otras cosas. Mi novio, no quiso soltarme de la mano, y seguimos caminando ignorándolos, sobre el hombro, vi que no estaban tan cerca, hasta que sentí que nos empezaron a aventar piedras, volteo y también había gente en los edificios que nos gritaban desde las terrazas groserías. Sentí que toda la calle no odiaba, y corrimos hacia un lugar más concurrido, ya que la calle estaba completamente sola al frente de nosotros.  Fue horrible no haber ni siquiera podido ver las caras de los agresores, al estar en las terrazas y atrás de nosotros en la oscuridad de la calle. Gracias a dios, seguimos nuestro camino y no pasó a más, pero si nos llegaron a pegar las piedras de la cadera para abajo. =(",2017-10-21,"01:00:00",2020-06-30 14:34:00,"Guanajuato","Guanajuato","Público","Vía pública o parque público",21.016397,-101.2544083,"No",,,"Creo que no habrá consecuencias de la denuncia",,,,,,,,258
"Personal","Personal","Determinada","De 26 a 30 años","Hombre","Hombre cis","Gay","Masculina","Persona no identificada","Física","La víctima fue agredida físicamente","Tengo 27 años. Al salir del lugar y dirigirme a mi casa, fui interceptado por un tipo que estaba en el lugar, argumentando que yo era un puto y que siempre le había caído mal. Me golpeó en repetidas ocasiones con patadas en el rostro y me amenazó que tenga cuidado porque una de esas me mata",2020-06-29,"02:00:00",2020-06-30 13:37:00,"Estado de México","Ixtapaluca","Privado","Bar o centro nocturno",19.3167323,-98.8948701,"No",,,"Creo que no habrá consecuencias de la denuncia",,,,,,,,259
"Personal","Personal","Determinada","De 18 a 25 años","Hombre","Hombre cis","Gay","Femenina","Maestra o personal educativo","Psicológica","La víctima fue agredida psicológicamente","Era mi primer día en la universidad y todo iba superbién hasta que llegó la clase de ética y el profesor empezó a decir unas barbaridades sobre la homosexualidad. Dijo que éramos enfermos, que el hecho de adoptar era arruinarle la vida a un niño. Ese día lo dejé pasar, pero en todas las clases lo seguía repitiendo (y tengo entendido que tiene años expresándose así de la comunidad LGBT+) hasta que un día decidí confrontarlo. Ya que se la pasaba diciendo palabras ofensivas como 'JOTO' , 'MARIPOSÓN' , 'MARICÓN', le dije que si sabía que esas palabras eran ofensivas y homofóbicas. Se molestó tanto que me sacó de la clase a mí y una compañera que también alzó la voz. Me dijo que ya no regresara a su clase y que estaba reprobado. Entonces decidí ir a reportarlo con mi coordinadora, le expresé toda la situación y me dijo que hablaría con él ya que no era la primera vez que tenían quejas sobre su comportamiento y comentarios tan desafortunados. Al día siguiente, me dirijo al salón a recoger mi mochila y ahí estaba él. Entré y me dijo 'ya me enteré que anda hablado pestes de mí, si sigues así voy a hacer que te expulsen de la escuela', (en un tono muy agresivo y acercándose demasiado a mi, sinceramente pensé que me iba a tirar un golpe). Le respondí 'vengo a sacar mi mochila, porque es mi salón y tengo derecho a estar aquí'. Fui a reportar nuevamente el incidente y no hicieron nada más que cambiarme a mí y a mi amiga de profesor. Días después me enteré que ese profesor es súper LGBTFÓBICO, y se la pasa diciendo que estamos enfermos y que, en vez de marchar por nuestros derechos, marchemos porque nos curen. Lo expresa libremente con todos sus grupos de la universidad, lo cual creo que es un inmenso daño, ya que está incitando al odio y está normalizando la discriminación hacia la comunidad LGBT en la escuela, y no lo corren porque es parte del sindicato de profesores y porque tiene palancas. De verdad me siento muy triste de que en pleno siglo 21 siga habiendo este tipo de discursos que sólo provocan daño.",2019-09-04,"10:00:00",2020-06-30 07:27:00,"Zacatecas","Fresnillo","Público","Escuela o Universidad pública",23.1997555,-102.8599872,"Si","Autoridad gubernamental",3,,,,,,,,,260
"Personal","Personal","Determinada","De 31 a 35 años","Hombre","Hombre cis","Gay","Masculina","Persona no identificada","Psicológica","La víctima fue agredida psicológicamente","Una persona en Instagram me está acosando verbalmente, emocionalmente, psicológicamente y me está extorsionando con dinero diciendo que tiene información mía que sacará a la luz. Soy una persona que no tiene nada que esconder y ya tiene desde abril amenazándome y sacándome dinero porque me pidió una cantidad para dejarme en paz y una vez que deposité, continuó haciendo lo mismo. Tengo miedo psicológico de que sepa mi información privada, sabe mi nombre y el trabajo que realizo diariamente y quiero que se haga algo al respecto, también maneja una cuenta en Twitter donde expone gente publicando fotos íntimas de otras personas y por denunciar esa página comencé a recibir las amenazas. No lo he platicado con gente por miedo a que me pase algo y vi esta página por medio de Pepe y Teo y estoy buscando ayuda con ustedes.",2020-06-26,"15:00:00",2020-06-30 05:02:00,"Baja California","Ensenada","Redes sociales o medios de comunicación","Redes sociales",,,"No",,,"Tengo miedo de denunciar",,,,,,,,262
"Personal","Personal","Determinada","De 18 a 25 años","Mujer","Mujer cis","Bisexual","Femenina","Maestra o personal educativo","Educativa","La víctima fue sancionada o expulsada del plantel educativo sin justificación","Me querían expulsar de la escuela sólo por tener novia.",2018-06-28,"17:00:00",2020-06-30 04:47:00,"Estado de México","Coacalco","Privado","Escuela o Universidad privada",19.6485018,-99.1200213,"No",,,"Creo que no habrá consecuencias de la denuncia",,,,,,,,263
"Personal","Personal","Determinada","De 18 a 25 años","Hombre","Hombre cis","Bisexual","Un poco femenina","Empleada de establecimiento comercial o profesionista","Verbal","La víctima fue agredida verbalmente","La persona transitaba en motocicleta, pasó frente a mí y a mi novio y nos gritó 'putos'.",2020-06-18,"21:00:00",2020-06-30 01:01:00,"Estado de México","Naucalpan","Público","Vía pública o parque público",19.5014463,-99.2584643,"No",,,"No sabía en dónde denunciarlo",,,,,,,,264
"Personal","Personal","Determinada","De 26 a 30 años","Mujer","Mujer cis","Lesbiana","Femenina","Empleada de establecimiento comercial o profesionista","Psicológica","La víctima fue agredida psicológicamente","En tiempos de pandemia el establecimiento está con servicio sólo para llevar, mi novia y yo llegamos a pedir café y tortas por lo q el tiempo de demora fue mayor, mientras esperábamos mi novia se acercó y me dio un beso incluso encima del cubrebocas, cabe resaltar que estabámos en los lugares señalados de distanciamiento cuando el empleado se percata de que somos pareja nos empieza a decir que nos alejemos más literal hasta el estacionamiento (en ese mismo momento llegó otro cliente lo saludó de mano sin cubrebocas y a él no se le pidió que se retirara del mostrador) lo anterior me incomodó y le dije que nos atendiera de buena forma, cabe señalar que todos los empleados presentes son hombres y nos empezaron a ver de manera hostil, nos entregó los alimentos de mala manera y evidentemente su trato no fue adecuado",2020-06-27,"14:00:00",2020-06-30 00:29:00,"Ciudad de México","Coyoacán","Privado","Centro comercial o establecimiento comercial",19.3453253,-99.1675915,"No",,,"No había algún encargado o alguien a quien reportar como dije todos los empleados tuvieron esa actitud al ser hombres",,,,,,,,265
"Personal","Personal","Determinada","De 26 a 30 años","Hombre","Hombre cis","Gay","Masculina","Persona no identificada","Verbal","La víctima fue agredida verbalmente","El estacionamiento de la pastelería pide que los coches se estacionen en pila. Para poder sacar mi coche, una señora de la tercera edad tenía que mover su auto. Mi pareja y yo estábamos dentro del auto. No nos estaba dando el espacio suficiente para salir, y nos aventó el coche impidiéndonos maniobrar. Le pedimos que nos permitiera salir antes de que ella volviera a entrar, a lo que ella respondió 'Ahí pasan; los maricones son muy espantados'. No nos quedamos callados y le dejamos en claro que no éramos espantados y que no vamos a tolerar insultos o ridiculizaciones por nuestra orientación sexual.",2020-06-28,"14:00:00",2020-06-29 23:55:00,"Ciudad de México","Cuauhtémoc","Privado","Centro comercial o establecimiento comercial",19.4180125,-99.1748189,"No",,,"No sabía en dónde denunciarlo",,,,,,,,266
